11,DESIGUAL,products_images/full_img_2276570.jpg,"Джинсы из коллекции Desigual типа спортивный с завышенной талией. Модель выполнена из хлопкового денима.
- Фасон - Jogger.
- Резинка в поясе.
- На талии стяжка.
- Прорезные карманы.
- Модель с лампасами.
- Ширина по поясу: 39 см.
- Полуобхват бедер: 44 см.
- Высота талии: 31 см.
- Ширина штанины сверху: 27 см.
- Ширина штанины снизу: 17 см.
- Длина штанины: 96 см.
- Параметры указаны для размера: S.
•	Крой: прямые
•	Цвет: темносиний
Состав:
100% Хлопок
Инструкция по уходу:
химическая чистка запрещена, машинная стирка при температуре воды 30°С, сушка в барабане запрещена, отбеливание запрещено, гладить при не высокой температуре (до 120 градусов)",Джинсы из коллекции Desigual типа спортивный с завышенной талией. Модель выполнена из хлопкового ден,2499,17,4
12,TALLY WEIJL,products_images/full_img_2437907.jpg,"Джинсы из коллекции Tally Weijl фасона slouchy с завышенной талией. Модель выполнена из обесцвеченного денима.
- Фасон slouchy.
- Прорезные карманы.
- Завышенная талия.
- Застегивается на пуговицу и молнию.
- Деним с декоративными пятнами.
- Ширина по поясу: 34,5 см.
- Полуобхват бедер: 53,5 см.
- Высота талии: 31,5 см.
- Ширина штанины снизу: 16,5 см.
- Ширина штанины сверху: 31 см.
- Длина: 99,5 см.
- Параметры указаны для размера: 38.
•	Талия: высокая
•	Kolor jeansu: jasny niebieski
Состав:
100% Хлопок",Джинсы из коллекции Tally Weijl фасона slouchy с завышенной талией. Модель выполнена из обесцвеченно,719,30,4
13,HUGO,products_images/full_img_2522447.jpg,"Элегантный костюм из коллекции Hugo. Модель выполнена из ткани с шерстью.
- Фасон extra slim.
- Застегивается на пуговицы.
- Классические лацканы.
- Прорезные карманы.
- Модель на подкладке.
- Штанины со стрелкой.
•	Узор: однотонные
•	Материал: ткань
•	Материал: шерстяной
Состав:
Подкладка: 100% Вискоза
Основной материал: 8% Полиамид, 23% Полиэстер, 69% Новая шерсть",Элегантный костюм из коллекции Hugo. Модель выполнена из ткани с шерстью.,17999,7,2
14,MANGO MAN,products_images/full_img_2199112.jpg,"Элегантный пиджак из коллекции Mango Man. Модель выполнена из гладкой ткани.
- Фасон слим-фит.
- Рукава с манжетами на застежке.
- Застегивается на пуговицы.
- Прорезные карманы.
- Внутренние прорезные карманы.
- Модель на подкладке.
Состав:
Подкладка: 55% Полиэстер, 45% Вискоза
Основной материал: 2% Эластан, 68% Полиэстер, 30% Вискоза
Подкладка рукавов: 100% Полиэстер",Элегантный пиджак из коллекции Mango Man. Модель выполнена из гладкой ткани.,3599,15,2
15,NIGHT DRIVER,products_images/full_img_2534635.jpg,"Пиджак из коллекции Medicine. Модель выполнена из узорной ткани.
- Крой slim.
- Прорезные карманы.
- Застегивается на пуговицы.
- Классические лацканы.
- Модель на подкладке.
- Ширина подмышками: 54 см.
- Ширина в плечах: 44 см.
- Длина рукава: 64,5 см.
- Длина: 74,5 см.
- Параметры указаны для размера: M.
•	Узор: узорные
•	Крой: slim
•	Материал: ткань
•	Подкладка: с подкладкой
Состав:
Подкладка: 100% Полиэстер
Основной материал: 2% Эластан, 85% Полиэстер, 13% Вискоза",Пиджак из коллекции Medicine. Модель выполнена из узорной ткани.,2699,20,2
16,PREMIUM BY JACK&JONES,products_images/full_img_2429745.jpg,"Повседневный пиджак из коллекции Premium by Jack&Jones. Модель выполнена из гладкой ткани.
- Fason super slim fit.
- Прорезные карманы.
- С плечиками.
- Застегивается на пуговицы.
- Тонкая неэластичная ткань.
- Классические лацканы.
- Модель на подкладке.
- Длина рукава: 62,5 см.
- Длина: 73,5 см.
- Ширина подмышками: 50 см.
- Ширина в плечах: 45 см.
- Параметры указаны для размера: 48.
•	Узор: однотонные
•	Материал: ткань
•	Подкладка: с подкладкой
•	Материал: шерсть в составе
Состав:
Подкладка: 100% Полиэстер
Основной материал: 1% Эластан, 77% Полиэстер, 22% Шерсть",Повседневный пиджак из коллекции Premium by Jack&Jones. Модель выполнена из гладкой ткани.,2399,17,2
17,GUESS JEANS BROWN,products_images/full_img_2425174.jpg,"Кофта из коллекции Guess Jeans. Модель выполнена из толстого, очень эластичного трикотажа.
- Мягкая модель.
- Облегающая модель.
- Круглый вырез.
- Модель с принтом.
- Отделка в виде стяжки.
- Ширина подмышками: 53 см.
- Длина рукава: 66 см.
- Длина: 66,5 см.
- Параметры указаны для размера: M.
•	Узор: принт
•	Материал: с эластаном
•	Капюшон: без капюшона
Состав:
95% Хлопок, 5% Эластан","Кофта из коллекции Guess Jeans. Модель выполнена из толстого, очень эластичного трикотажа.",1749,25,6
18,GUESS JEANS WHITE,products_images/full_img_2425179.jpg,"Кофта из коллекции Guess Jeans. Модель выполнена из толстого, очень эластичного трикотажа.
- Мягкая модель.
- Облегающая модель.
- Круглый вырез.
- Модель с принтом.
- Отделка в виде стяжки.
- Ширина подмышками: 53 см.
- Длина рукава: 66 см.
- Длина: 66,5 см.
- Параметры указаны для размера: M.
•	Узор: принт
•	Материал: с эластаном
•	Капюшон: без капюшона
Состав:
95% Хлопок, 5% Эластан","Кофта из коллекции Guess Jeans. Модель выполнена из толстого, очень эластичного трикотажа.",1749,25,6
19,KAPPA RED,products_images/full_img_2547639.jpg,"Кофта с капюшоном из коллекции Kappa. Модель выполнена из тонкого, легко эластичного трикотажа.
- Мягкая модель.
- Прямой фасон.
- Карман спереди.
- Капюшон со стяжкой.
- Тонкий, эластичный трикотаж.
- Декоративная кайма.
- Отделка в виде стяжки.
- Длина рукава (от капюшона): 78 см.
- Длина: 69 см.
- Ширина подмышками: 58 см.
- Параметры указаны для размера: M.
•	Узор: аппликация
•	Капюшон: с капюшоном
Состав:
80% Хлопок, 20% Полиэстер","Кофта с капюшоном из коллекции Kappa. Модель выполнена из тонкого, легко эластичного трикотажа.",1499,28,6
20,KAPPA GREEN,products_images/full_img_2555449.jpg,"Кофта с капюшоном из коллекции Kappa. Модель выполнена из тонкого, легко эластичного трикотажа.
- Мягкая модель.
- Прямой фасон.
- Карман спереди.
- Капюшон со стяжкой.
- Тонкий, эластичный трикотаж.
- Декоративная кайма.
- Отделка в виде стяжки.
- Длина рукава (от капюшона): 78 см.
- Длина: 69 см.
- Ширина подмышками: 58 см.
- Параметры указаны для размера: M.
•	Узор: аппликация
•	Капюшон: с капюшоном
Состав:
80% Хлопок, 20% Полиэстер","Кофта с капюшоном из коллекции Kappa. Модель выполнена из тонкого, легко эластичного трикотажа.",1499,30,6
21,KAPPA - БРЮКИ,products_images/full_img_2408148.jpg,"Брюки из коллекции Kappa. Модель выполнена из гладкого трикотажа.
- Прямой фасон.
- Мягкая модель.
- Резинка в поясе.
- Штанины на резинках.
- На талии стяжка.
- Прорезные карманы.
- Ширина по поясу: 38 см.
- Полуобхват бедер: 43 см.
- Высота талии: 31 см.
- Ширина штанины снизу: 15 см.
- Ширина штанины сверху: 31 см.
- Длина штанины: 104 см.
- Параметры указаны для размера: M.
•	Узор: меланж
•	Материал: трикотаж
Состав:
75% Хлопок, 23% Полиэстер, 2% Вискоза",Брюки из коллекции Kappa. Модель выполнена из гладкого трикотажа.,719,35,5
22,ADIDAS ORIGINALS,products_images/full_img_2645754.jpg,"Брюки из коллекции adidas Originals. Модель выполнена из гладкой ткани.
- Прямой фасон.
- Карманы с застежкой.
- Резинка в поясе.
- Талия со внутренней регулировкой ширины.
- Тонкая неэластичная ткань.
- Ширина по поясу: 39,5 см.
- Полуобхват бедер: 53 см.
- Высота талии: 27 см.
- Ширина штанины снизу: 13,5 см.
- Ширина штанины сверху: 33,5 см.
- Длина: 99 см.
- Параметры указаны для размера: M.
•	Узор: однотонные
•	Материал: ткань
Состав:
100% Нейлон",Брюки из коллекции adidas Originals. Модель выполнена из гладкой ткани.,1899,20,5
23,BRAVE SOUL,products_images/full_img_2421127.jpg,"Брюки из коллекции Brave Soul. Модель выполнена из гладкого трикотажа.
- Резинка в поясе.
- Прорезные карманы.
- На талии стяжка.
- Штанины на резинках.
- Ширина по поясу: 41 см.
- Полуобхват бедер: 53 см.
- Высота талии: 30 см.
- Ширина штанины снизу: 12 см.
- Ширина штанины сверху: 28 см.
- Длина: 113 см.
- Параметры указаны для размера: M.
•	Узор: однотонные
•	Материал: трикотаж
Состав:
80% Хлопок, 20% Полиэстер",Брюки из коллекции Brave Soul. Модель выполнена из гладкого трикотажа.,429,45,5
24,PRODUKT BY JACK & JONES,products_images/full_img_2648854.jpg,"Брюки из коллекции Produkt by Jack & Jones. Модель выполнена из гладкого трикотажа.
- Мягкая модель.
- Облегающая модель.
- Прорезные карманы.
- Заниженная линия сидения.
- Резинка в поясе.
- На талии стяжка.
- Тонкий, эластичный трикотаж.
- Ширина по поясу: 39,5 см.
- Полуобхват бедер: 52 см.
- Высота талии: 28 см.
- Ширина штанины снизу: 12 см.
- Ширина штанины сверху: 30 см.
- Длина: 103 см.
- Параметры указаны для размера: M.
•	Узор: однотонные
•	Материал: трикотаж
Состав:
85% Хлопок, 15% Вискоза",Брюки из коллекции Produkt by Jack & Jones. Модель выполнена из гладкого трикотажа.,719,37,5
